com.samsung.shealth.sleep_snoring,6266001,3
duration,create_sh_ver,start_time,custom,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
82790,,2023-11-10 04:49:03.181,,,2023-11-10 11:25:56.106,2023-11-10 11:25:56.106,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 04:50:25.971,fcb16473-6dba-4e9f-8479-8105671d00cc,
1071392,,2023-11-10 04:57:31.603,,,2023-11-10 11:25:56.107,2023-11-10 11:25:56.107,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 05:15:22.995,e97e54a1-d7f1-47d4-9456-eb455e3f1281,
236394,,2023-11-10 06:16:29.383,,,2023-11-10 11:25:56.107,2023-11-10 11:25:56.107,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 06:20:25.777,996f746a-3fac-468f-a98b-a4884a221ec7,
567226,,2023-11-10 06:22:26.971,,,2023-11-10 11:25:56.109,2023-11-10 11:25:56.109,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 06:31:54.197,1c7cfc86-45f4-4ca2-936b-063375e3724f,
536306,,2023-11-10 06:45:57.339,,,2023-11-10 11:25:56.109,2023-11-10 11:25:56.109,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 06:54:53.645,e53f15c6-5562-44d6-8514-6c2e7f95db8e,
321297,,2023-11-10 07:03:32.993,,,2023-11-10 11:25:56.109,2023-11-10 11:25:56.109,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 07:08:54.290,f2490a14-38bd-439b-8e48-71d71eb4b0a5,
178162,,2023-11-10 07:09:26.782,,,2023-11-10 11:25:56.110,2023-11-10 11:25:56.110,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 07:12:24.944,85391b78-f302-4133-9298-be299e5ce335,
118526,,2023-11-10 07:12:57.899,,,2023-11-10 11:25:56.110,2023-11-10 11:25:56.110,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 07:14:56.425,e1dee7fc-33a1-41b7-9d1b-791094fe8e8b,
528427,,2023-11-10 07:15:34.012,,,2023-11-10 11:25:56.110,2023-11-10 11:25:56.110,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 07:24:22.439,22d0e1df-dd47-4749-a6a8-acb6594575a9,
170554,,2023-11-10 07:31:04.105,,,2023-11-10 11:25:56.111,2023-11-10 11:25:56.111,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 07:33:54.659,4128b277-f8f7-484d-a2ec-cd85d0e1539d,
83156,,2023-11-10 07:37:27.065,,,2023-11-10 11:25:56.111,2023-11-10 11:25:56.111,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 07:38:50.221,7367049b-4e7a-4e65-b7f2-47d7b431b4b9,
474544,,2023-11-10 08:16:28.266,,,2023-11-10 11:25:56.111,2023-11-10 11:25:56.111,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 08:24:22.810,8fdd456d-13e9-4d6d-938f-ec161ce13d2e,
